Año: 2024,,,,,,,,,,,,,
Producción Agrícola,,,,,,,,,,,,,
Ciclo: Ciclicos - Perennes,,,,,,,,,,,,,
Modalidad: Riego + Temporal,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Cultivo,Variedad,UDM,Tipo de tecnología,Tipo de producción,Tipo de mercado,Superficie,,,Producción,Rendimiento,PMR,Valor Producción
,,,,,,,(ha),,,,(udm/ha),($/udm),(miles de Pesos)
,,,,,,,Sembrada,Cosechada,Siniestrada,,,,
155,Cebolla,Cebolla blanca,Tonelada,Malla sombra,Convencional,Nacional,4,4,0,260,65,"7,100.00","1,846.00"
156,Centeno grano,Centeno grano s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,44,44,0,214.88,4.88,"3,220.81",692.09
157,Cereza,Cereza guinda,Tonelada,Cielo abierto,Convencional,Nacional,42.5,37,0,147.52,3.99,"74,927.77","11,053.34"
158,Chabacano,Chabacano s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,214.41,201.41,0,"1,039.46",5.16,"9,703.22","10,086.11"
159,Chayote,Chayote s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"2,967.59","2,964.79",0,"202,833.51",68.41,"6,753.89","1,369,915.05"
160,Chía,Chía s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"3,874.96","3,874.96",0,"2,983.68",0.77,"62,075.63","185,213.81"
161,Chícharo,Chícharo,Tonelada,Cielo abierto,Convencional,Exportación,16,16,0,114.9,7.18,"23,696.08","2,722.68"
162,Chícharo,Chícharo s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"6,414.13","6,414.13",0,"29,315.72",4.57,"8,358.27","245,028.80"
163,Chícharo,Chícharo,Tonelada,Cielo abierto,Orgánico,Nacional,43.5,43.5,0,408,9.38,"17,785.10","7,256.32"
164,Chilacayote,Chilacayote s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,82.5,82.5,0,"1,330.12",16.12,"4,759.04","6,330.10"
165,Chile verde,Chile verde morrón (bell pepper),Tonelada,Cielo abierto,Convencional,Exportación,228,228,0,"13,469.00",59.07,"13,315.51","179,346.60"
166,Chile verde,Chile verde serrano,Tonelada,Cielo abierto,Convencional,Exportación,169.7,169.7,0,"7,427.87",43.77,"10,789.46","80,142.68"
167,Chile verde,Chile verde anaheim,Tonelada,Cielo abierto,Convencional,Exportación,162,162,0,"6,943.68",42.86,"11,973.99","83,143.57"
